act_number,tree_adress,Latitude,Longitude,tree_cut_requester,tree_characteristics,number,date,cutting_act,was_cut,date_number,date_UTF,tree_adress_shorten
"№ 3712
 від 11.05.18","м. Кропивницький вул. Шевченка, 21/27 (уздовж дороги по
 вул. Шевченка)",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,каштан діам. 30-35 см,1,№ 1357/03-01-06 від 22.05.18,,0,№ 1357/03-01-06,22.05.18,"м. Кропивницький вул. Шевченка, 21/27"
"№ 3712
 від 11.05.18","м. Кропивницький вул. Арсенія Тарковського, 17 (уздовж дороги)",48.513404799999996,32.275521600000005,КП «Благоустрій» МРМК»,акація діам. 85-90 см,1,№ 1357/03-01-06 від 22.05.18,,0,№ 1357/03-01-06,22.05.18,"м. Кропивницький вул. Арсенія Тарковського, 17"
"№ 3713
 від 11.05.18","м. Кропивницький вул. Михайлівська, 54 (уздовж дороги)",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,тополя діам. 65-70 см,1,№ 1357/03-01-06 від 22.05.18,,0,№ 1357/03-01-06,22.05.18,"м. Кропивницький вул. Михайлівська, 54"
"№ 3713
 від 11.05.18","м. Кропивницький пров. Азовський, від вул. Мінської в бік бази відпочинку «Горняк»)",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,тополя діам. 50-65 см,2,№ 1357/03-01-06 від 22.05.18,,0,№ 1357/03-01-06,22.05.18,"м. Кропивницький пров. Азовський, від вул. Мінської в бік бази відпочинку «Горняк»)"
"№ 3713
 від 11.05.18","м. Кропивницький пров. Азовський, від вул. Мінської в бік бази відпочинку «Горняк»)",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,тополя діам. 45-50 см,2,№ 1357/03-01-06 від 22.05.18,,0,№ 1357/03-01-06,22.05.18,"м. Кропивницький пров. Азовський, від вул. Мінської в бік бази відпочинку «Горняк»)"
"№ 3713
 від 11.05.18","м. Кропивницький пров. Азовський, від вул. Мінської в бік бази відпочинку «Горняк»)",48.50793300000001,32.262316999999996,КП «Благоустрій» МРМК»,тополя діам. 75-80 см,1,№ 1357/03-01-06 від 22.05.18,,0,№ 1357/03-01-06,22.05.18,"м. Кропивницький пров. Азовський, від вул. Мінської в бік бази відпочинку «Горняк»)"
"№ 3714
 від 11.05.18","м. Кропивницький вул. Карабінерна, 30/79",48.507371000000006,32.2763914,КП «ЖЕО № 2» Міської ради міста Кропивницького,тополя діам. 55-60 см,1,,,0,,,"м. Кропивницький вул. Карабінерна, 30/79"
"№ 3714
 від 11.05.18","м. Кропивницький вул. Пашутінська, 13 (біля будинку)",48.5121471,32.2720566,КП «ЖЕО № 2» Міської ради міста Кропивницького,акація діам. 50-55 см,1,,,0,,,"м. Кропивницький вул. Пашутінська, 13"
"№ 3715
 від 11.05.18","м. Кропивницький просп. Університетський, 11",48.5048555,32.2096236,КЗ «Кіровоградський музичний коледж»,береза діам. 35-40 см,2,,,0,,,"м. Кропивницький просп. Університетський, 11"
"№ 3715
 від 11.05.18","м. Кропивницький просп. Університетський, 11",48.5048555,32.2096236,КЗ «Кіровоградський музичний коледж»,горобина діам. 10-15 см,1,,,0,,,"м. Кропивницький просп. Університетський, 11"
"№ 3716
 від 11.05.18","м. Кропивницький вул. Євгена Маланюка, 4 (на території музичного коледжу)",48.518297,32.278741,КЗ «Кіровоградський музичний коледж»,береза діам. 20-25 см,1,,,0,,,"м. Кропивницький вул. Євгена Маланюка, 4"
"№ 3717
 від 11.05.18","м. Кропивницький вул. Генерала Жадова, 28, корп. 2",48.49057029999999,32.2013222,ОСББ «Гарант»,вишня діам. 20-25 см,1,,,0,,,"м. Кропивницький вул. Генерала Жадова, 28, корп. 2"
"№ 3718
 від 11.05.18","м. Кропивницький вул. Андрія Матвієнака, 21 (уздовж дороги)",48.50793300000001,32.262316999999996,гр. Василевський Є.В.,акація діам. 40-45 см,1,,,0,,,"м. Кропивницький вул. Андрія Матвієнака, 21"
"№ 3719
 від 11.05.18","м. Кропивницький вул. Дворцова, 6/7",48.5134473,32.2601912,ГУ юстиції у Кіровоградській області,каштан діам. 45-50 см,1,,,0,,,"м. Кропивницький вул. Дворцова, 6/7"
"№ 3720
 від 11.05.18","м. Кропивницький вул. Запорозька, 16/2",48.50793300000001,32.262316999999996,гр. Полонська М.Г.,абрикос діам. 30-35 см,1,,,0,,,"м. Кропивницький вул. Запорозька, 16/2"
"№ 3720
 від 11.05.18","м. Кропивницький вул. Запорозька, 16/2",48.50793300000001,32.262316999999996,гр. Полонська М.Г.,шовковиця діам. 35-40 см,1,,,0,,,"м. Кропивницький вул. Запорозька, 16/2"
"№ 3721
 від 11.05.18","м. Кропивницький вул. Академіка Тамма, 27 (на території ДНЗ № 48 «Журавушка»",48.49833830000001,32.233691500000006,МЧС Міської ради,тополя діам. 65-70 см,1,,,0,,,"м. Кропивницький вул. Академіка Тамма, 27"
"№ 3721
 від 11.05.18","м. Кропивницький вул. Академіка Тамма, 27 (на території ДНЗ № 48 «Журавушка»",48.49833830000001,32.233691500000006,МЧС Міської ради,тополя діам. 40-45 см,1,,,0,,,"м. Кропивницький вул. Академіка Тамма, 27"
"№ 3721
 від 11.05.18","м. Кропивницький вул. Академіка Тамма, 27 (на території ДНЗ № 48 «Журавушка»",48.49833830000001,32.233691500000006,МЧС Міської ради,верба діам. 80-85 см,1,,,0,,,"м. Кропивницький вул. Академіка Тамма, 27"
"№ 3721
 від 11.05.18","м. Кропивницький вул. Академіка Тамма, 27 (на території ДНЗ № 48 «Журавушка»",48.49833830000001,32.233691500000006,МЧС Міської ради,береза діам. 25-30 см,1,,,0,,,"м. Кропивницький вул. Академіка Тамма, 27"
"№ 3722
 від 29.05.18","м. Кропивницький вул. Короленка, сквер «Катюша»",48.5353893,32.2713092,ОКВП «Дніпро-Кіровоград»,береза діам. 40-45 см,1,,,0,,,"м. Кропивницький вул. Короленка, сквер «Катюша»"
"№ 3722
 від 29.05.18","м. Кропивницький вул. Короленка, сквер «Катюша»",48.5353893,32.2713092,ОКВП «Дніпро-Кіровоград»,"спірея, кущ",5,,,0,,,"м. Кропивницький вул. Короленка, сквер «Катюша»"
"№ 3722
 від 29.05.18","м. Кропивницький вул. Короленка, сквер «Катюша»",48.5353893,32.2713092,ОКВП «Дніпро-Кіровоград»,газон звичайний. 60 м2,60 м2,,,0,,,"м. Кропивницький вул. Короленка, сквер «Катюша»"
"№ 3723
 від 29.05.18","м. Кропивницький вул. Євгена Маланюка, уздовж дороги навпроти магазину «Світ»",48.5193219,32.280344899999996,КП «Благоустрій» МРМК»,тополя діам. 35-40 см,1,,,0,,,"м. Кропивницький вул. Євгена Маланюка, уздовж дороги навпроти магазину «Світ»"
"№ 3723
 від 29.05.18","м. Кропивницький просп. Перемоги, позаду ЗОШ № 20",48.520051,32.251020000000004,КП «Благоустрій» МРМК»,клен діам. 75-80 см,1,,,0,,,"м. Кропивницький просп. Перемоги, позаду ЗОШ № 20"
"№ 3724
 від 29.05.18","м. Кропивницький вул. Будівельників, 1-а",48.561578600000004,32.2417417,КП «Благоустрій» МРМК»,сосна діам. 30-35 см,1,,,0,,,"м. Кропивницький вул. Будівельників, 1-а"
"№ 3725
 від 29.05.18","м. Кропивницький вул. Велика Перспективна, 1 (на території ГУ НП в Кіровоградській області)",48.5115347,32.2620511,ГУ НП в Кіровоградській області,каштан діам. 65-70 см,1,,,0,,,"м. Кропивницький вул. Велика Перспективна, 1"
"№ 3726
 від 31.05.18","м. Кропивницький вул. Автолюбителів, 4, уздовж гаражного кооперативу «Автолюбитель-2» з боку
 вул. Автолюбителів",48.4876638,32.2264051,Гаражний кооператив,тополя діам. 25-30 см,1,,,0,,,"м. Кропивницький вул. Автолюбителів, 4, уздовж гаражного кооперативу «Автолюбитель-2» з боку
 вул. Автолюбителів"
"№ 3727
 від 31.05.18","м. Кропивницький вул. Академіка Тамма, 9",48.499674,32.2368108,КП «ЖЕО № 3» Міської ради міста Кропивницького,липа діам. 30-35 см,1,,,0,,,"м. Кропивницький вул. Академіка Тамма, 9"
"№ 3727
 від 31.05.18","м. Кропивницький вул. Академіка Тамма, 9",48.499674,32.2368108,КП «ЖЕО № 3» Міської ради міста Кропивницького,горіх діам. 35-40 см,1,,,0,,,"м. Кропивницький вул. Академіка Тамма, 9"
"№ 3727
 від 31.05.18","м. Кропивницький вул. Академіка Тамма, 9",48.499674,32.2368108,КП «ЖЕО № 3» Міської ради міста Кропивницького,абрикос діам. 25-35 см,2,,,0,,,"м. Кропивницький вул. Академіка Тамма, 9"
"№ 3727
 від 31.05.18","м. Кропивницький вул. Академіка Тамма, 9",48.499674,32.2368108,КП «ЖЕО № 3» Міської ради міста Кропивницького,абрикос 2 діам. 25-30 см,1,,,0,,,"м. Кропивницький вул. Академіка Тамма, 9"
"№ 3727
 від 31.05.18","м. Кропивницький вул. Академіка Тамма, 9",48.499674,32.2368108,КП «ЖЕО № 3» Міської ради міста Кропивницького,,,,,0,,,"м. Кропивницький вул. Академіка Тамма, 9"
"№ 3729
 від 31.05.18","м. Кропивницький вул. Соборна, 22-а",48.5023057,32.2475398,КП «ЖЕО № 3» Міської ради міста Кропивницького,верба плакуча діам. 75-80 см,1,,,0,,,"м. Кропивницький вул. Соборна, 22-а"
"№ 3730
 від 31.05.18","м. Кропивницький вул. Соборна, 23/34",48.50092249999999,32.2413927,КП «ЖЕО № 3» Міської ради міста Кропивницького,горіх діам. 60-65 см,1,,,0,,,"м. Кропивницький вул. Соборна, 23/34"
"№ 3731
 від 31.05.18","м. Кропивницький вул. Волкова, 14, корп. 2",48.50765879999999,32.2234158,КП «ЖЕО № 3» Міської ради міста Кропивницького,тополя діам. 65-75 см,2,,,0,,,"м. Кропивницький вул. Волкова, 14, корп. 2"
"№ 3732
 від 31.05.18","м. Кропивницький вул. Євгена Тельнова, 2-в",48.501893700000004,32.234619,КП «ЖЕО № 3» Міської ради міста Кропивницького,яблуня діам. 30-35 см,1,,,0,,,"м. Кропивницький вул. Євгена Тельнова, 2-в"
"№ 3733
 від 31.05.18","м. Кропивницький вул. Академіка Корольова, 3",48.5032615,32.235588,ОЖБК,горіх діам. 40-45 см,1,,,0,,,"м. Кропивницький вул. Академіка Корольова, 3"
"№ 3734
 від 31.05.18","м. Кропивницький вул. Арсенія Тарковського, 2",48.516248,32.2783987,КП «ЖЕО № 2» Міської ради міста Кропивницького,черешня діам. 30-35 см,1,,,0,,,"м. Кропивницький вул. Арсенія Тарковського, 2"
"№ 3735
 від 31.05.18","м. Кропивницький вул. Архітектора Паученка, 51/44, уздовж дороги по вул. Архітектора Паученка",48.509276,32.271429,КП «ЖЕО № 2» Міської ради міста Кропивницького,акація діам. 40-45 см,1,,,0,,,"м. Кропивницький вул. Архітектора Паученка, 51/44, уздовж дороги по вул. Архітектора Паученка"
"№ 3735
 від 31.05.18","м. Кропивницький вул. Велика Перспективна, 25/34, у дворі уздовж паркану",48.5115341,32.268664,КП «ЖЕО № 2» Міської ради міста Кропивницького,тополя діам. 70-75 см,2,,,0,,,"м. Кропивницький вул. Велика Перспективна, 25/34, у дворі уздовж паркану"
"№ 3735
 від 31.05.18","м. Кропивницький вул. Архангельська, 65/108, уздовж дороги по вул. Архангельській",48.5050495,32.272339,КП «ЖЕО № 2» Міської ради міста Кропивницького,клен діам. 65-70 см,1,,,0,,,"м. Кропивницький вул. Архангельська, 65/108, уздовж дороги по вул. Архангельській"
"№ 3735
 від 31.05.18","м. Кропивницький вул. Пашутінська, 51-а",48.5083152,32.2683104,КП «ЖЕО № 2» Міської ради міста Кропивницького,каштан діам. 45-50 см,1,,,0,,,"м. Кропивницький вул. Пашутінська, 51-а"
"№ 3736
 від 31.05.18","м. Кропивницький вул. Гагаріна, 7",48.5138824,32.2693798,КП «ЖЕО № 2» Міської ради міста Кропивницького,берест діам. 55-60 см,1,,,0,,,"м. Кропивницький вул. Гагаріна, 7"
