identifier,orderIdentifier,orderDate,orderContractorLegalName,orderContractorIdentifier,addressCountry,addressRegion,addressLocality,streetAddress,locationDescription,latitude,longitude,itemSpecies,itemQuantityPlan,itemQuantityFact,itemQuantityLeft,itemType,appealIdentifier,dateReceived,senderName,reportIdentifier,reportDate,status
,552-В,2020-03-12 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Яновського 98,,48.499320000000004,32.2403,тополя,1.0,1.0,0.0,Підняття крони,,,,6.0,,Замовлення виконано підрядником
,552-В,2020-03-12 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Яновського 98,,48.49865,32.23982,тополя,1.0,1.0,0.0,Підняття крони,,,,6.0,,Замовлення виконано підрядником
,552-В,2020-03-12 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Яновського 98,,48.49853,32.240140000000004,тополя,1.0,1.0,0.0,Підняття крони,,,,6.0,,Замовлення виконано підрядником
,552-В,2020-03-12 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Яновського 98,,48.49863,32.24005,тополя,1.0,1.0,0.0,Підняття крони,,,,6.0,,Замовлення виконано підрядником
,552-В,2020-03-12 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Яновського 98,,48.49908,32.24065,берест,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,552-В,2020-03-12 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Яновського 98,,48.49839,32.23982,берест,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,552-В,2020-03-12 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Яновського 98,,48.49888,32.24017,липа,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,552-В,2020-03-12 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Яновського 98,,48.49886,32.24007,акація,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,552-В,2020-03-12 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Яновського 98,,48.49897,32.240109999999994,акація,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Острівська,,48.50666,32.259809999999995,айланд,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Острівська,,48.50669,32.259890000000006,шовковиця,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Острівська,,48.50693,32.259840000000004,берест,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Острівська,,48.50756,32.26019,берест,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Острівська,,48.506820000000005,32.25388,клен,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Острівська,,48.50677,32.25995,клен,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Острівська,,48.506809999999994,32.25958,клен,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Острівська,,48.50685,32.26956,клен,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Острівська,,48.50731,32.26018,клен,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Острівська,,48.507329999999996,32.260090000000005,абрикос,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Острівська,,48.50736,32.2601,каштан,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Василя Жуковського,,48.49757,32.232490000000006,абрикос,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Василя Жуковського,,48.489979999999996,32.29656,абрикос,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Василя Жуковського,,48.49958,32.2958,абрикос,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Василя Жуковського,,48.499926,32.295609999999996,абрикос,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Василя Жуковського,,48.49922,32.29526,абрикос,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Василя Жуковського,,48.49762,32.292590000000004,абрикос,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Василя Жуковського,,48.4977,32.29251,шовковиця,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Василя Жуковського,,48.50047,32.29756,шовковиця,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Василя Жуковського,,48.49869,32.29436,шовковиця,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Василя Жуковського,,48.49885,32.294740000000004,горіх,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Василя Жуковського,,48.49998,32.29665,горіх,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Василя Жуковського,,48.49889,32.294709999999995,горіх,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Василя Жуковського,,48.49884,32.294579999999996,горіх,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Василя Жуковського,,48.4998,32.2964,груша,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Василя Жуковського,,48.49927,32.295359999999995,вишня,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Василя Жуковського,,48.49915,32.29514,вишня,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Василя Жуковського,,48.49886,32.29484,вишня,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Василя Жуковського,,48.49885,32.29463,вишня,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Василя Жуковського,,48.49733,32.2922,вишня,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Василя Жуковського,,48.49881,32.29483,слива,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Василя Жуковського,,48.49848,32.294140000000006,слива,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Ялтинська,,48.500029999999995,32.298429999999996,клен,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Ялтинська,,48.50006,32.298429999999996,клен,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Ялтинська,,48.50008,32.25832,клен,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Ялтинська,,48.50028,32.29766,клен,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Ялтинська,,48.50039,32.29793,клен,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Ялтинська,,48.50009,32.29824,абрикос,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Ялтинська,,48.50019,32.29817,абрикос,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Ялтинська,,48.49994,32.29829,абрикос,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Ялтинська,,48.499970000000005,32.29835,абрикос,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Ялтинська,,48.49988,32.2997,абрикос,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Ялтинська,,48.50011,32.298190000000005,берест,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Ялтинська,,48.50027,32.29804,берест,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Ялтинська,,48.49755,32.301429999999996,берест,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Ялтинська,,48.49754,32.30142,берест,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Ялтинська,,48.49753,32.301429999999996,берест,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Ялтинська,,48.49751,32.30147,берест,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Ялтинська,,48.50016,32.29817,слива,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Ялтинська,,48.50023,32.29808,слива,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Ялтинська,,48.50028,32.297979999999995,акація,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Ялтинська,,48.500370000000004,32.297909999999995,береза,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Ялтинська,,48.50039,32.298120000000004,яблуня,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,1061/03-01-06,2020-06-09 00:00:00,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Ялтинська,,48.49904,32.299490000000006,горіх,1.0,1.0,0.0,Санітарна,,,,6.0,,Замовлення виконано підрядником
,обрізка дерев біля дорожніх знаків та світлофорів,,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Бобринецький шлях,,48.47595,32.27185,клен,1.0,1.0,0.0,Підняття крони,,,,6.0,,Замовлення виконано підрядником
,обрізка дерев біля дорожніх знаків та світлофорів,,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Шкільна,,48.47145,32.25933,каштан,1.0,1.0,0.0,Підняття крони,,,,6.0,,Замовлення виконано підрядником
,обрізка дерев біля дорожніх знаків та світлофорів,,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Шкільна,,48.47136,32.25914,абрикос,1.0,1.0,0.0,Підняття крони,,,,6.0,,Замовлення виконано підрядником
,обрізка дерев біля дорожніх знаків та світлофорів,,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Мурманська,,48.50976,32.186029,акація,1.0,1.0,0.0,Підняття крони,,,,6.0,,Замовлення виконано підрядником
,обрізка дерев біля дорожніх знаків та світлофорів,,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Мурманська,,48.50938,32.18585,клен,1.0,1.0,0.0,Підняття крони,,,,6.0,,Замовлення виконано підрядником
,обрізка дерев біля дорожніх знаків та світлофорів,,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Мурманська,,48.50805,32.1947,берест,1.0,1.0,0.0,Підняття крони,,,,6.0,,Замовлення виконано підрядником
,обрізка дерев біля дорожніх знаків та світлофорів,,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Покровська,,48.50185,32.27317,абрикос,1.0,1.0,0.0,Підняття крони,,,,6.0,,Замовлення виконано підрядником
,обрізка дерев біля дорожніх знаків та світлофорів,,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Покровська,,48.50155,32.2739,абрикос,1.0,1.0,0.0,Підняття крони,,,,6.0,,Замовлення виконано підрядником
,обрізка дерев біля дорожніх знаків та світлофорів,,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Покровська,,48.501670000000004,32.273790000000005,береза,1.0,1.0,0.0,Підняття крони,,,,6.0,,Замовлення виконано підрядником
,обрізка дерев біля дорожніх знаків та світлофорів,,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Кропивницького,,48.5004,32.27236,маслина,1.0,1.0,0.0,Підняття крони,,,,6.0,,Замовлення виконано підрядником
,обрізка дерев біля дорожніх знаків та світлофорів,,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Кропивницького,,48.50379,32.27582,клен,1.0,1.0,0.0,Підняття крони,,,,6.0,,Замовлення виконано підрядником
,обрізка дерев біля дорожніх знаків та світлофорів,,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Кропивницького,,48.50392,32.275259999999996,клен,1.0,1.0,0.0,Підняття крони,,,,6.0,,Замовлення виконано підрядником
,обрізка дерев біля дорожніх знаків та світлофорів,,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Кропивницького,,48.50401,32.27559,берест,1.0,1.0,0.0,Підняття крони,,,,6.0,,Замовлення виконано підрядником
,обрізка дерев біля дорожніх знаків та світлофорів,,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Кропивницького,,48.50397,32.27551,берест,1.0,1.0,0.0,Підняття крони,,,,6.0,,Замовлення виконано підрядником
,обрізка дерев біля дорожніх знаків та світлофорів,,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Руслана Слободянюка,,48.52213,32.23211,акація,1.0,1.0,0.0,Підняття крони,,,,6.0,,Замовлення виконано підрядником
,обрізка дерев біля дорожніх знаків та світлофорів,,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Руслана Слободянюка,,48.5231,32.23232,тополя,1.0,1.0,0.0,Підняття крони,,,,6.0,,Замовлення виконано підрядником
,обрізка дерев біля дорожніх знаків та світлофорів,,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Руслана Слободянюка,,48.523179999999996,32.232409999999994,клен,1.0,1.0,0.0,Підняття крони,,,,6.0,,Замовлення виконано підрядником
,обрізка дерев біля дорожніх знаків та світлофорів,,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Євгена Чикаленка,,48.51764,32.2648,акація,1.0,1.0,0.0,Підняття крони,,,,6.0,,Замовлення виконано підрядником
,обрізка дерев біля дорожніх знаків та світлофорів,,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Євгена Чикаленка,,48.517590000000006,32.261509999999994,акація,1.0,1.0,0.0,Підняття крони,,,,6.0,,Замовлення виконано підрядником
,обрізка дерев біля дорожніх знаків та світлофорів,,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Велика Перспективна,біля церкви,48.503679999999996,32.26048,липа,1.0,1.0,0.0,Підняття крони,,,,6.0,,Замовлення виконано підрядником
,обрізка дерев біля дорожніх знаків та світлофорів,,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Куропятникова,,48.49232,32.2578,горіх,1.0,1.0,0.0,Підняття крони,,,,6.0,,Замовлення виконано підрядником
,обрізка дерев біля дорожніх знаків та світлофорів,,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Куропятникова,,48.49192,32.257740000000005,вишня,1.0,1.0,0.0,Підняття крони,,,,6.0,,Замовлення виконано підрядником
,обрізка дерев біля дорожніх знаків та світлофорів,,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Пацаєва,,48.49876,32.21676,липа,1.0,1.0,0.0,Підняття крони,,,,6.0,,Замовлення виконано підрядником
,обрізка дерев біля дорожніх знаків та світлофорів,,"КП ""Благоустрій"" Міської ради міста Кропивницького""",38211887,Україна,Кіровоградська область,Кропивницький,вул. Пацаєва,,48.4988,32.21666,липа,1.0,1.0,0.0,Підняття крони,,,,6.0,,Замовлення виконано підрядником
